,Text,Emotion
217,السيسي عدو المسلمين وأردوغان خليـــــفة ألمعرصين,ANGER
366,بكره دولة مشيركم لابعد حدود الكره لساها ثورة يناير مش ناسيين التحرير يولاد الوسخة,ANGER
395,يوم وسخ كده,ANGER
829,اوسخ حاجةلما تضطر تطلب حاجةمن حد ابن متناكةبترجع تضرب نفسكجزمة انك طلبتها منه رغم انه لو حصل العكس مش هتاخر حتى وانا عارف انه ابن متناكة,ANGER
836,بتعرص للأسبان في كل حاجه,ANGER
863,قمة روما و ليون مش سبشيال أما ابلكيشن معرص بصحيح,ANGER
1299,لما تحس انك مخنوق ومفيش حد جنبك نط من البلكونة هتلآقى كل النآس حواليك,SADNESS
1601,أن شاء الله عشان كرستيانو يعادل رقم ابن الوسخة في الكرات الذهبية,ANGER
1606,احا الهاندل كان ابن بطوطة,ANGER
2015,عارف انا مخنوقة جداا محتاجه اتكلم واحكى كل حاجه جوايا تعبانى عارف انا ثوانى بس اقوم اكل  لاحسن حاموت من الجوع ثوانى بس,SADNESS
2153,مفيش أوسخ ولا أعر من الناس دي سلفين كانوا أو إخوان وهم سبب التخلف والفقر من منذ نشاطهم علي أرضنا هم وباء متأصل في البلد,ANGER
2335,عشان ولاد وسخه,ANGER
2396,اصلها تقرف,DISGUST
2403,ريال مدريد مقابلش ليستر ولا موناكو ليه يا ولاد الوسخة يا زياطين,ANGER
2465,متزعلش يايحى ياقلاش انت صحيح خسرت الانتخابات بس كسبت وقفة حمدين صباحى جنبك ياريت يشوفلك حتة حلوة جنبه عالرصيف,SADNESS
2484,متزعلش يايحى ياقلاش انت صحيح خسرت الانتخابات بس كسبت وقفة حمدين صباحى جنبك فياريت يشوفلك حتة حلوة جنبه عالرصيف,SADNESS
2545,الله يـعين القلب لا ساقه الشوق صوب الـديار اللي سكنهاا وليفي الصدر من كثر الهواجيس مخنوق والوقت ماجاني على كيف كيفي,SADNESS
2557,يا عرص الايكونومكس دي انا شلتها مرتين بنت الوسخة,ANGER
2560,بتعرصوا لبعض زي ماجوارديولا بيعرص لستونز عمركم ماهتعدوا من الدور الاول ابدا,ANGER
2613,عمرسليمان اسدالمخابرات قال سوف نضحك وبتسم كثيرا والاعداء سوف يبكون كثيرا وفعلا بدات كلماته تتحقق لينا وهنشوف,SADNESS
2616,ضغط نفسي ايه ده بس اللي بيبدأ من نص تلاتة يا تيرم علق يا كلية وسخة,ANGER
2651,الناس اللي بتعرص للسيسي,ANGER
2822,قفشتينى لكن كممثله مش بتضايقنى الحقيقه هى كويسه,SADNESS
3052,مخنوق قوى,SADNESS
3096,السبب العلمى للنكدية النسوية,SADNESS
3100,كل حد يكلمك يقولك المصريين دول كان عز زمان دلوقتي خلاص بح ايوة احنا ولاد عز وانتوا لسة خدامين ولاد وسخة والمقامات محفوظة يا جيران السو,ANGER
3113,التعريص لموزة يخليك معرص ياض,ANGER
3160,هى مش نكدية ولا زنانة هى أوقات بتبقى عايزة تعرف قد إيه إنت متمسك بيها قد ايه لما تقولك نبعد هتعمل المستحيل عشان ده ميحصلش قد إيه بتحبها,SADNESS
3209,اللهم في هذاالصباح نسألك صدق التوكل عليك وحسن الإعتماد عليك وقوةاليقين بك وسخر جوارحنا لطاعتك واملأ قلوبنا بحبك حياتك,ANGER
3236,بتنسوا الحاجات الحلوه دي كلها ازاي بسرعه كدا اولادالوسخه,ANGER
3376,حدثني عن سوريا فيها الجرائم ترتكب ليل نهار يحكمها كلب اسمه بشار يعاونة عرص اسمه بلحة تسانده كلاب الغرب الفجار,ANGER
3438,يا سامح يا معرص بتقفشني,ANGER
3496,حجم الزيطة اللي في دماغك بيتناسب طرديامع معدل ولاد الوسخة اللي بتقابلهم يوميا معادلة فزيائية سليمة,ANGER
3557,لولا الوسخين ما عرفنا الحلوين,ANGER
3670,بس بجد انا ع قد ما بحب ع قد ما بكره يعني زي ما حبيتك وعملتلك كل حاجه تأكدلك حبي ليك هكرهك لو مقدرتش حبي ده وهعملك كل حاجه تأكد كرهي ليك,ANGER
3707,هو انا اية مفتكرتش وسختك يا شرموطة,ANGER
3716,حسبي الله و نعم الوكيل في السوسو ابن الوسخة,ANGER
3732,ندله يا جهاااااد,ANGER
3741,هى الناس الوسخه بتقدر تنسى أزاى المواقف العملتها,ANGER
3857,طب الواحد عارف ومتأكد ان البشر ولاد وسخه بس ليه ننخدع كمان ف الصحاب القريبين منا لا وانتيمتى وعشره وبتاع لا والاسم صاحب عمر قرف,ANGER
4096,اسكندريه ماريه ملحوظه سكانها ولاد وسخه,ANGER
4278,أنا قاعدة لوحدي وسامعه كيس أسود بيتحرك ويخرفش لوحده وهعيط اهو,SADNESS
4350,حاحة بضان اوي افتح النت الاقي في وشي خبر ان دوناروما هيمشي ايه الأخبار الوسخة دي,ANGER
4360,احا احا احااااا هو لسه في حد بيشغل في زفة تسلم الأيادى يا ولاد الخول يا معرصين,ANGER
4505,الواحد لما بيكون مخنوق بيفتح تويتر بيتخنق اكتر,SADNESS
4509,معلش بي ناس نفوسها قذرة وواطيةكل شئ تفسره علي حسب تربيتها الوسخة زيها,ANGER
4644,يا دنيا يلي مشيالنا هموم تقال متشكرين علي كل حال متشكرين علي الجرح علي الخوف علي الالام علي هم اتقل من الجبال,JOY
4690,لقطة المتش كله بعد الخناقة فى اخر الكوارتر التانى خدوا الكورة و راح عامل واحده و اخرس الصالة كلها,ANGER
