,Original text,True label,Predicted label,ANGER probability,DISGUST probability,FEAR probability,JOY probability,SADNESS probability,SURPRISE probability
0,هو مصر مبقاش فيها غير هتك العرض ولا اية ارحمونا بقى حاجه تقرف واذا بليتم فاستتروا يا ساتر,DISGUST,ANGER,0.9989366776211279,0.0010632699721925523,3.212214964249747e-14,9.134056033502733e-11,5.209140266208582e-08,2.2389922533285772e-10
1,مين اللي فجر كنيسة القديسين وقتل شاب مسلم ظلم ولم نرى اعتزار من اي كلب لما تتفجر كنيسه انتو بتفرحو اكتر علشان عارفين راح يتهمو مسلم حتى لو كان مظلوم انتم اوسخ من الارهابيين,ANGER,ANGER,1.0,3.226714818040031e-20,1.4807294763590155e-25,1.1947601429688241e-20,5.251602087992589e-15,2.992511306078615e-20
2,قطر بنت ستين وسخة,ANGER,ANGER,0.9999999870608924,4.070182463348288e-09,2.717957836215447e-10,3.2484279352209023e-10,7.766381300145909e-09,5.059071356055377e-10
3,اكبر معرصين هما بتوع الازهر واغلبيه الناس الى بتاجر ف المخدرات بتوع ازهر ياريت محدش ياخد الكلام ع نفسه,ANGER,ANGER,0.9999999999982663,1.325830891314758e-12,2.6156326782817762e-17,1.307304326247765e-15,4.2030681619652645e-13,2.5783840206641346e-16
4,لو خدتوا نص جنيه ابقوا قابلوني ده مش بعيد ياخدوا ال بلغ كمان ويقولك اكيد متورط معاه ويعرفه ياحكوووومه وسخه,ANGER,ANGER,0.9999999999109832,2.937288792922536e-12,1.5207637316642374e-17,6.660566433948996e-11,1.922836660596718e-11,2.5774722408373854e-13
5,انت كداب وعرص,ANGER,ANGER,0.9995965751185578,6.338898424726599e-05,9.98859522379376e-06,0.00010433905816646578,0.00017334484174702898,5.236340205753253e-05
6,أركب ي زول ديل معرصين,ANGER,ANGER,0.9990180629189014,0.0005609283206476514,7.491455424360904e-05,0.0001790716011241842,9.73014949001141e-05,6.972111017977153e-05
7,انا حاسة اني كنت بذاكر عربي عشان بس ارضيك و متزعلش مني و دلوقتي مش قادرة اذاكره لان مفيش سبب يحببني حتي فيه,SADNESS,SADNESS,3.251922777046909e-06,6.031401781555716e-12,8.096595450109444e-15,1.2403536900609502e-08,0.9999967352272424,4.404018721331401e-10
8,يعنى احنا عملنا ثورة وناس كتير ماتت عشان دى تبقي الاشكال اللى تحت قبة البرلمان ياولاد الوسخه مفيش فايده مفيش أمل فى البلد دى,ANGER,ANGER,1.0,2.283703055254895e-18,1.9889043798679082e-30,4.787215775927522e-25,4.334080941645593e-20,3.168993550942213e-29
9,تخيل كده ان مرتضى منصور ماسك رئيس لجنة حقوق الانسان عايز اقول كلمه وسخه بس اخلاقى متسحمليش,ANGER,ANGER,0.9999999999230056,3.5786801091703427e-14,8.93606829831761e-17,2.5645209401259004e-14,7.669771645339047e-11,2.3467493419246316e-13
