,Original text,True label,Predicted label,ANGER probability,DISGUST probability,FEAR probability,JOY probability,SADNESS probability,SURPRISE probability
0,هو مصر مبقاش فيها غير هتك العرض ولا اية ارحمونا بقى حاجه تقرف واذا بليتم فاستتروا يا ساتر,DISGUST,DISGUST,0.45782395017252764,0.542175732235067,1.874599805386887e-17,7.876990619963001e-11,3.1751361578660813e-07,1.2312580850567357e-14
1,مين اللي فجر كنيسة القديسين وقتل شاب مسلم ظلم ولم نرى اعتزار من اي كلب لما تتفجر كنيسه انتو بتفرحو اكتر علشان عارفين راح يتهمو مسلم حتى لو كان مظلوم انتم اوسخ من الارهابيين,ANGER,ANGER,0.9999999999998863,1.7854232191992765e-15,7.632096018530847e-31,7.17525101570587e-21,8.971900976279848e-14,7.091241291468771e-27
2,قطر بنت ستين وسخة,ANGER,ANGER,0.9999999790919427,7.581626085771992e-09,3.9498255248002726e-11,7.50982756297985e-10,1.2320252506952913e-08,2.1569856547434177e-10
3,اكبر معرصين هما بتوع الازهر واغلبيه الناس الى بتاجر ف المخدرات بتوع ازهر ياريت محدش ياخد الكلام ع نفسه,ANGER,ANGER,0.9999999998994724,9.593258654971215e-11,1.3020771295249759e-18,2.117409769192937e-15,4.5913190867536865e-12,5.8464258647134736e-18
4,لو خدتوا نص جنيه ابقوا قابلوني ده مش بعيد ياخدوا ال بلغ كمان ويقولك اكيد متورط معاه ويعرفه ياحكوووومه وسخه,ANGER,ANGER,0.9999890549668308,3.067773749291426e-07,2.683122121142155e-15,4.933561055669404e-06,5.70469203735317e-06,2.6945797824025725e-12
5,انت كداب وعرص,ANGER,ANGER,0.9996335346357806,0.0001354645299834835,1.9254168629123365e-07,5.967351602152379e-05,0.000167932528012819,3.2022485138523537e-06
6,أركب ي زول ديل معرصين,ANGER,ANGER,0.9959873447598383,0.0025230022778980235,2.6288341534205698e-05,0.0004998218544060596,0.00081998306926939,0.0001435596970555922
7,انا حاسة اني كنت بذاكر عربي عشان بس ارضيك و متزعلش مني و دلوقتي مش قادرة اذاكره لان مفيش سبب يحببني حتي فيه,SADNESS,SADNESS,2.461565385095166e-10,1.3205481561173278e-12,3.540178975606153e-24,1.0602713599429795e-14,0.9999999997525038,8.755403629348675e-21
8,يعنى احنا عملنا ثورة وناس كتير ماتت عشان دى تبقي الاشكال اللى تحت قبة البرلمان ياولاد الوسخه مفيش فايده مفيش أمل فى البلد دى,ANGER,ANGER,0.9999999999999432,6.062866459894159e-14,3.5657243448573225e-29,2.5657229674032673e-21,2.041811332745161e-15,1.729040289221417e-28
9,تخيل كده ان مرتضى منصور ماسك رئيس لجنة حقوق الانسان عايز اقول كلمه وسخه بس اخلاقى متسحمليش,ANGER,ANGER,0.999999999704869,2.1235013858455863e-12,6.498445222479282e-19,1.826504224377888e-14,2.929945114407078e-10,2.1271138092362616e-15
10,معرصين كترو اوي يا جدعالبلح طرح,ANGER,ANGER,0.9999118350577335,1.7288568996915077e-05,3.5889111962825694e-09,1.4061669075959638e-05,5.675406287423262e-05,5.705240906512724e-08
11,ياعالم وسخه احترموا مهنتكم ياكلاب المفروض تصريح التأييد للضربه اول حاجه تعلنوها,ANGER,ANGER,0.9999944477477903,4.4931914366677e-06,4.0504422018571767e-10,7.561607540115293e-07,3.00534085182775e-07,1.9608956657020234e-09
12,كفايه كذب ياادمن ياعرص دي ليله جمعه حرام علي امك,ANGER,ANGER,0.9999989103675627,1.0766828608668403e-06,4.544380287320192e-14,3.7347995235542994e-09,9.214507091229058e-09,2.2672846036842547e-13
13,وهو السيسي هيوقف حرس علي كل واحد ابن وسخه مريض بتاع عيال وهو ده مكانش بيحصل يعني قبل السيسي,ANGER,ANGER,0.9999999999999716,2.38354967153311e-14,1.0463569552544634e-27,4.956196271448707e-19,1.7246985839288227e-16,3.938837099098459e-24
