,Original text,True label,Predicted label,ANGER probability,DISGUST probability,FEAR probability,JOY probability,SADNESS probability,SURPRISE probability
0,الله على شوف الغضي حزة عصير في راس طعز ماحدن قد مشاء به جاه الربيع وصادق الغيم بالخير فديت بعض العرب ياناس,SADNESS,SADNESS,9.952711396031631e-11,1.5990256961677964e-10,3.4086274706325594e-08,3.0144010861605553e-07,0.9999991545739298,5.096402700402836e-07
1,مبزره مهوب دوله,ANGER,ANGER,0.9995040581974539,0.00017495923487470806,7.045516217990819e-05,6.899642573711687e-05,9.405371953409164e-05,8.747726022153485e-05
2,ناس متخلفه بشكل لحد الحين مجاهيل اكبري ي ماما,ANGER,ANGER,0.995134508789296,0.0003285309568318626,3.6558974731966986e-05,0.000217505406328912,0.0034212579558224377,0.0008616379169858527
3,يالله حبايبي من باجر صيروا رياضيين وتعالوا الجامعة بسياكل اظن الجامعة الحين ميتين من القهر مصافطكم مالها عازة خلاص هدموها ما نبيها,SADNESS,SADNESS,1.3646439676953408e-10,1.2031958317748176e-10,4.8388760563954465e-12,3.286979721047133e-10,0.9999999963206392,3.089053423016373e-09
4,العجيب جامعات عالميه ومرجع للباحثين من الصعب تحصل قبول فيها حتى لو كنت مقتدر ماليا وعلميا أتت في مراتب متأخره وبعضها لم يذكر في العشر الأوائل كامبريدج انموذجا أتت بعد الملك عبد العزيز في المركز العاشر,FEAR,FEAR,1.796052239793485e-14,1.97775355176231e-14,0.9999932624816832,2.7135178499230515e-07,1.1469943094310599e-07,6.351467087854687e-06
5,للأسف هم يكثرون بين كل فترة وفترة وهم شباب بعيدين عن الله مضيعين الصلاة والصيام وعاقين للوالدين ومخالفين للعادات والتقاليد عبء على الدولة يكثر بينهم تعاطي المخدرات والشذوذ تصرفاتهم جنونية والفاظهم بذيئة وصخة مثل وجيهم ما يصدر منهم الا الاذى بكل أنواعه اذى الطريق وإتلاف الممتلكات ازعاج المسلمين بكل مكان من البلد يسوون كل شيء يأذي المسلمين فتحل عليهم دعوات المسلمين من الكل الصغير والكبير عسى الله يجعل اذاهم ما يتعداهم الله يفك يبلاهم بمرض يشلهم ويفكنا من شرهم,DISGUST,DISGUST,3.842836229437032e-32,1.0,7.190233053783384e-23,3.2501415613302346e-22,8.815078257193388e-17,1.4296730332161316e-17
6,الله يبارك فيك الغالي ابو عبدالعزيز وعقبالك نفرح بتخرجك ايضا,JOY,JOY,1.0894516933921963e-06,1.5254953303185827e-08,6.596133602718559e-07,0.9997285571320313,0.00025900684088932827,1.0671707073094644e-05
7,مبزره والله,ANGER,ANGER,0.9961506322856111,0.00041457995785052886,9.003656889844137e-05,0.0015812100812940579,0.001377140566484411,0.00038640053986180106
8,كل الي كنت اكرهم بالبدايه اكتشفت انهم مره ينحبون لدرجه صرت احب وحده بالتويتر كنت اكرهها بس الحين استانس لا شفتها,JOY,SADNESS,0.014674700327475625,4.4391297608597816e-05,1.3579457748800942e-05,0.037846206148850564,0.9363638649203918,0.011057257847931008
9,ماقصرتوا الله يعطيكم العافيه,JOY,JOY,8.318647108855971e-07,1.8984711498841116e-06,6.715636571803446e-07,0.9999871494937266,5.794225742944939e-06,3.6543810139378897e-06
10,وعليكم السلام ورحمة الله وبركاته ألف مبروك التخرج وعقبالك الدكتوراة المكافآت المستحقة بالنسبة للموظف المبتعث كالتالي مكافأة الترم الأخير مكافأة التخرج بمعدلات عالية مكافأة متخرج قبل انتهاء الفترة المحدد لاستحقاق الدرجة بترم واحد على الأقل مكافأة التميز بشرط التسجيل عدد ساعة كل ترم دراسي مكافأة قائمة العميد مكافأة النقل وتنزل بشكل تلقائي بمجرد اقفال الملف أما مكافأة التخرج باعتقادي تعطى لمبتعثي برنامج الملك مضافة للمكافآت السابقة بالتوفيق للجميع,JOY,JOY,1.2997619261341536e-37,2.0983226971402958e-36,6.680538565859837e-28,0.9999999984136139,5.948545336242663e-25,1.5863865426739259e-09
11,مكافاه النشر زي ماقلت تعتمد ع عدد الناشرين في ورقه البحث المنشوره ومكافاه الموتمر تكون مع صرف التذاكر للطيران اوالتعويض اذا مشيت بالسياره مخصص شهر كامل وهذا شي يدعي الى التساول كيف تسويلك ورقه بحث بعد عنا وتعب واخذ ورد مع المراجعين ويعطونك مبلغ حول دولار اذا كانوا الناشرين معك اربعه او اكثر والبوستر اللي ممكن تسويه بسهوله ويقبل بسهوله ويعطونك مخصص كامل وتذاكر بغض النظر عن عدد الباحثين المتواجدين في البوستر,SURPRISE,SURPRISE,2.5493968193882672e-34,5.047470105962748e-35,9.103022204123688e-26,2.061848706997641e-21,2.941642414379825e-22,1.0
12,يرحل الحزن بسجدةويأتي الفرح بدعوة,SADNESS,SADNESS,3.155252660296966e-05,0.0003030359733937956,0.00012080319264384971,0.002819328380955621,0.9965567324546266,0.00016854747177962837
13,يظهر أن اللعبة انطلقت من الولايات المتحدة في هذا الشهر يوليو وتبعتها دول أوربا واستراليا ونيوزيلندا  ولكن اللعبة تنتشر من خلال ربط الهاتف بالانترنت لذا نقول أن كل الأطفال والمراهقين والشباب بدول العالم يستطيعون ممارسة اللعبة بسبب وجود الانترنت وسهولة التحميل ودفع رسوم مخفضة و,SURPRISE,SURPRISE,5.102417349756774e-23,1.1689467230207598e-22,3.0257111154496063e-19,8.482607491510182e-18,1.940615955978273e-16,1.0
14,اول شي انتي لما ترجعي جده بتكوني فرحانه انك غلقتي الماستر وبترجعي لاهلك ومنها ترتاحي وتباشري بالجامعه بس تشوفي احد من اهلك فضي لك ممكن تسافري وتدرسي وبالاضافه حتشوفي خيارات كتيره قدامك لعله خير انا افضل انك تدرسي بشكل متقطع لانك بس ترجعي جده ح تكرهي العيشه وحتحتاجي تسافري تاني,ANGER,SURPRISE,0.14849094250155254,1.4278316337455139e-08,8.165283733981146e-07,0.0006470361056337487,0.0006359716073005509,0.8502252189788
15,يعطيكم العافية ماقصرتوا,JOY,JOY,5.384636451256357e-06,3.732849125966179e-06,1.503198677974401e-06,0.9999751710402865,3.010029836448379e-06,1.119824562311491e-05
16,ㅤㅤ هو حزن واحد مرني في حياتي  خلا مشاوير الفرح كلها أحزان,SADNESS,SADNESS,2.0683836262156723e-05,4.548908331373379e-06,6.846241780690794e-07,9.984044942006965e-07,0.999965811616335,7.272610397083808e-06
17,مشكور اخوي ع الرد بس ابغى جواب اكيد,JOY,JOY,1.4678105431538104e-06,5.672111552294002e-08,7.317838894907785e-08,0.9999905520229465,1.8740302387064807e-06,5.976236769445247e-06
18,اللهم إني أعوذ بك من شعور لا يشكى ولا يزول ثقله,SADNESS,SADNESS,1.387463811765954e-07,4.564003529596641e-09,1.0785149299616756e-08,2.185914213326623e-08,0.9999952507577716,4.5732875513132745e-06
19,متضررات من حظر القياده مانبغى نسوف خلاص ولا احنا حقوقيات ولا هم يحزنون بس أبغى اجدد جوازي بنفسي بدون ولي امر,SADNESS,SADNESS,5.154807399001204e-06,1.6552363305580364e-06,4.8096914313075245e-09,3.366620771727555e-07,0.9999882875096762,4.560974811703174e-06
20,للمعلومية أصبح دور المشرف مراسل ومدقق لا نصيحة لا متابعة لا مساعدة اذا يسأل عنك يجيك نهاية الترم يقول سجل دراسي أو هولد أو بداية الترم يقول تسجيل أو هولد,SURPRISE,SURPRISE,2.8333888690717686e-14,1.1366162625389147e-19,2.378212949049799e-12,2.5105999121003984e-14,3.1947506801304427e-09,0.9999999968028419
