,Original text,True label,Predicted label,ANGER probability,DISGUST probability,FEAR probability,JOY probability,SADNESS probability,SURPRISE probability
0,الله على شوف الغضي حزة عصير في راس طعز ماحدن قد مشاء به جاه الربيع وصادق الغيم بالخير فديت بعض العرب ياناس,SADNESS,SADNESS,1.0873258575481652e-08,1.9276616769313682e-12,2.4750445712630474e-09,1.291311697440095e-09,0.9999999813458376,4.012607650625426e-09
1,مبزره مهوب دوله,ANGER,ANGER,0.9980796053826945,0.00031460149209891985,0.00048374591623134437,0.00040831100582754197,0.0004143218401352934,0.0002994143630122901
2,ناس متخلفه بشكل لحد الحين مجاهيل اكبري ي ماما,ANGER,ANGER,0.9852578736406706,9.320788180677523e-05,0.0008990570805501489,0.0019107352037509475,0.008541839059363598,0.0032972871338598133
3,يالله حبايبي من باجر صيروا رياضيين وتعالوا الجامعة بسياكل اظن الجامعة الحين ميتين من القهر مصافطكم مالها عازة خلاص هدموها ما نبيها,SADNESS,SADNESS,7.539660654925359e-08,8.085360463231822e-11,3.4088585210521087e-10,4.4527498984465845e-09,0.9999999157164758,4.012435724114208e-09
4,العجيب جامعات عالميه ومرجع للباحثين من الصعب تحصل قبول فيها حتى لو كنت مقتدر ماليا وعلميا أتت في مراتب متأخره وبعضها لم يذكر في العشر الأوائل كامبريدج انموذجا أتت بعد الملك عبد العزيز في المركز العاشر,FEAR,FEAR,8.833401988738434e-10,1.7283962776786882e-17,0.9999999609917162,1.893074098567971e-08,2.0896783143113742e-10,1.8985220668853252e-08
5,للأسف هم يكثرون بين كل فترة وفترة وهم شباب بعيدين عن الله مضيعين الصلاة والصيام وعاقين للوالدين ومخالفين للعادات والتقاليد عبء على الدولة يكثر بينهم تعاطي المخدرات والشذوذ تصرفاتهم جنونية والفاظهم بذيئة وصخة مثل وجيهم ما يصدر منهم الا الاذى بكل أنواعه اذى الطريق وإتلاف الممتلكات ازعاج المسلمين بكل مكان من البلد يسوون كل شيء يأذي المسلمين فتحل عليهم دعوات المسلمين من الكل الصغير والكبير عسى الله يجعل اذاهم ما يتعداهم الله يفك يبلاهم بمرض يشلهم ويفكنا من شرهم,DISGUST,DISGUST,4.378042346322785e-18,1.0,1.3721140261160518e-20,8.980710140967383e-23,1.3509793716297617e-17,6.035751212812371e-19
6,الله يبارك فيك الغالي ابو عبدالعزيز وعقبالك نفرح بتخرجك ايضا,JOY,JOY,5.790315413048174e-06,6.993973966265623e-09,8.239864229891881e-07,0.9999258806310574,5.382615944661528e-05,1.3671913680839275e-05
7,مبزره والله,ANGER,ANGER,0.941336586020495,0.0006054275272109312,0.0028002524164014936,0.02623171491220041,0.021158405059282542,0.007867614064410548
8,كل الي كنت اكرهم بالبدايه اكتشفت انهم مره ينحبون لدرجه صرت احب وحده بالتويتر كنت اكرهها بس الحين استانس لا شفتها,JOY,JOY,0.0020357409236445704,1.8520018501683314e-09,1.1258857122927102e-05,0.865462548486315,0.13163962245090882,0.0008508274300024275
9,ماقصرتوا الله يعطيكم العافيه,JOY,JOY,2.8714547512905016e-06,2.4383092901234494e-07,9.890801210206066e-07,0.9999903236956643,3.366974506614298e-06,2.2049640277184573e-06
10,وعليكم السلام ورحمة الله وبركاته ألف مبروك التخرج وعقبالك الدكتوراة المكافآت المستحقة بالنسبة للموظف المبتعث كالتالي مكافأة الترم الأخير مكافأة التخرج بمعدلات عالية مكافأة متخرج قبل انتهاء الفترة المحدد لاستحقاق الدرجة بترم واحد على الأقل مكافأة التميز بشرط التسجيل عدد ساعة كل ترم دراسي مكافأة قائمة العميد مكافأة النقل وتنزل بشكل تلقائي بمجرد اقفال الملف أما مكافأة التخرج باعتقادي تعطى لمبتعثي برنامج الملك مضافة للمكافآت السابقة بالتوفيق للجميع,JOY,JOY,4.550776299511922e-21,3.874210944443397e-33,1.3229916631412225e-22,0.9999999978273308,1.262877732378979e-28,2.1726495857700684e-09
11,مكافاه النشر زي ماقلت تعتمد ع عدد الناشرين في ورقه البحث المنشوره ومكافاه الموتمر تكون مع صرف التذاكر للطيران اوالتعويض اذا مشيت بالسياره مخصص شهر كامل وهذا شي يدعي الى التساول كيف تسويلك ورقه بحث بعد عنا وتعب واخذ ورد مع المراجعين ويعطونك مبلغ حول دولار اذا كانوا الناشرين معك اربعه او اكثر والبوستر اللي ممكن تسويه بسهوله ويقبل بسهوله ويعطونك مخصص كامل وتذاكر بغض النظر عن عدد الباحثين المتواجدين في البوستر,SURPRISE,SURPRISE,6.454752641812721e-21,1.9403961873902767e-35,3.8417931985998266e-22,1.4108138533461614e-19,2.642345632317948e-24,1.0
12,يرحل الحزن بسجدةويأتي الفرح بدعوة,SADNESS,SADNESS,0.0006620990412778619,0.0007350875695725945,0.0006054002857467748,0.0012717307889031433,0.9959443212953196,0.0007813610191825332
13,يظهر أن اللعبة انطلقت من الولايات المتحدة في هذا الشهر يوليو وتبعتها دول أوربا واستراليا ونيوزيلندا  ولكن اللعبة تنتشر من خلال ربط الهاتف بالانترنت لذا نقول أن كل الأطفال والمراهقين والشباب بدول العالم يستطيعون ممارسة اللعبة بسبب وجود الانترنت وسهولة التحميل ودفع رسوم مخفضة و,SURPRISE,SURPRISE,1.629373625070191e-13,6.636617013531011e-23,5.2736851868386123e-17,1.9954222371706137e-17,1.637446028520619e-17,0.9999999999998295
14,اول شي انتي لما ترجعي جده بتكوني فرحانه انك غلقتي الماستر وبترجعي لاهلك ومنها ترتاحي وتباشري بالجامعه بس تشوفي احد من اهلك فضي لك ممكن تسافري وتدرسي وبالاضافه حتشوفي خيارات كتيره قدامك لعله خير انا افضل انك تدرسي بشكل متقطع لانك بس ترجعي جده ح تكرهي العيشه وحتحتاجي تسافري تاني,ANGER,ANGER,0.9999999972154683,3.3649583084859747e-17,1.3501446237441888e-11,1.0987228397360987e-11,4.562862070175396e-14,2.760020662327723e-09
15,يعطيكم العافية ماقصرتوا,JOY,JOY,5.9460307953787376e-06,1.3719359357201887e-06,1.406368422493041e-06,0.9999798278170795,3.613606646573669e-06,7.834241119711598e-06
16,ㅤㅤ هو حزن واحد مرني في حياتي  خلا مشاوير الفرح كلها أحزان,SADNESS,SADNESS,0.00021159295855275735,1.0079286934745603e-06,5.205370348867348e-06,4.83186149103272e-06,0.999748122313247,2.9239567667224427e-05
17,مشكور اخوي ع الرد بس ابغى جواب اكيد,JOY,JOY,1.320634299488407e-07,3.5012209320146594e-09,1.3457995319222435e-07,0.9999958538429019,3.2375511096065604e-07,3.552257383744601e-06
18,اللهم إني أعوذ بك من شعور لا يشكى ولا يزول ثقله,SADNESS,SADNESS,9.414148233496736e-07,4.996032012030682e-10,6.379645103858254e-08,1.9324638262834695e-07,0.9999893672277669,9.433814977814168e-06
19,متضررات من حظر القياده مانبغى نسوف خلاص ولا احنا حقوقيات ولا هم يحزنون بس أبغى اجدد جوازي بنفسي بدون ولي امر,SADNESS,SADNESS,5.745656322726451e-06,4.454924163528832e-09,2.121608367888275e-07,9.96124683431695e-07,0.9999895898333053,3.451769940334498e-06
20,للمعلومية أصبح دور المشرف مراسل ومدقق لا نصيحة لا متابعة لا مساعدة اذا يسأل عنك يجيك نهاية الترم يقول سجل دراسي أو هولد أو بداية الترم يقول تسجيل أو هولد,SURPRISE,SURPRISE,1.2080237246370295e-08,1.2637137520588851e-20,3.712688756788904e-10,2.6275864000563634e-12,6.838903326133316e-10,0.9999999868619511
21,ام جوجو ردك مرا يثلج الصدر المستقبل بيد الله ونحن نسعى للشي وربك مايضيع جهد عبد ماعليك الرازق في السماء والحاسد في الارض الله يبعد عننا الحسد ويوفقنا دنيا وآخره,DISGUST,DISGUST,2.920678273739404e-09,0.9999649316178314,2.334678390521766e-07,1.4979110384140364e-05,1.9852343485193656e-05,5.397794969189941e-10
22,مشكورين على ارائكم الرائع لكن من اهم اسباب رغبتي في ذكر الدراستي السابقه و هو تكملتي لمرحلة اللغه و كذلك اخذ بعض الكورسات و النجاح فيها و لكن من مواقع تجربتي السابقه كل ما ذكرت ذلك طلبوا مني اسم الدكتور و ياتي ذلك برفضي لبرنامجه,JOY,JOY,5.319901081983902e-11,2.970349392143211e-23,6.549481800524307e-13,0.9999939499114685,2.589476920676078e-10,6.049775712002764e-06
23,لا أتوقع ذلك التأثير الكبير كثير من المحاولات سبقت هذه بلا فائدة الشئ الذي يحز في النفس هو أنك تبتعث وتجتهد و تبذل الغالي والرخيص من اجل الابتعاث ثم تعامل بهذه الطريقة لذلك لا ألوم من يعود وليس له اقل رغبة في تقديم اي جهد اضافي للجامعة بل حتى التوجه الى القطاع الخاص أو القطاعات التي تقدر العمل فعلا,SADNESS,SADNESS,5.4557833117160017e-08,3.8679998847129374e-31,1.0765553774137935e-13,3.642751838560344e-12,0.9998599811258947,0.00013996431251399942
24,الجامعات موقفه امورنا وراتبك مالك حق فيه هذا غير نظام الابتعاث بدون تعيين والملحقيه تذلنا وماكله حقوقنا ومشرفين يحسسوك انك جاي من خيمه بالصحراء وماتفهم شي ماكنك خريج جامعه والبعض عندهم ماستر وافهم منهم ويعاملوك بدونيه وع اتفه شي هولد وايقاف صرف,SURPRISE,SURPRISE,6.50400823870536e-12,9.310367773984152e-18,1.9116094382321777e-10,3.253009895374575e-11,1.2308778247639332e-13,0.9999999997696705
25,من جد هل الملحقية ما تصرف عليا طيب و العلم و الفايدة اللي بكتسبها لمين ان شاء الله شئ عجيب المفروض يدعمونا اننا نبغى ناخد خبرات و ننقلها لوطنا محنا جالسين زيهم مامن كل شي عندهم و فوق هذا راتب,FEAR,FEAR,2.20137913567756e-08,2.2601744783569657e-17,0.9999952125032,2.3617161951821732e-06,6.98543690088166e-07,1.705223145023322e-06
26,الله لايهينك اخوي فيصل مشكور على الرد,JOY,JOY,2.899890203509574e-07,8.339136990095221e-10,1.9700992066317e-08,0.9999984474992488,8.201216279326958e-07,4.218551994344771e-07
27,جزاك الله خير مشكور اخوي,JOY,JOY,5.2906084376106734e-08,4.803849189465264e-09,2.739733762139587e-08,0.9999987468833211,7.677359088759751e-07,4.002735006221015e-07
28,والله ياخي الاسم صراحه أعجبني بس بيني وبينك عندك مجتمع الاسم هو الاساس والكفاءة او المخرجات تجي في الاخير,SURPRISE,SURPRISE,0.0009100788949301903,2.77510659012778e-09,1.4218039741261574e-06,6.038234068585288e-07,0.0018673697674582148,0.9972205229351225
29,حتى ابتسامه مابتسمت مبزره الصراحه,ANGER,ANGER,0.9968066733328249,5.2831321897667846e-05,0.0002167329676997063,0.0007310122141196461,0.0009885292116484118,0.0012042209518095487
30,مادري ماكنت احبها كلللللش كانت غثيثه ع قلبي وماكانت بجمالها الحين,SADNESS,SADNESS,0.00020233386935509867,1.746327325450521e-06,2.3722222207102386e-05,5.031647125843081e-05,0.9995842732079075,0.00013760790194114884
31,والله شي محزن ويقهر لكن ان شاالله انه فيه خير لها يمكن ربي رد شر عنها كان بيجيها من هذه الوظيفه وبما انها طالبه ممتازه ان شاالله راح تلقى وظيفه افضل,SADNESS,SADNESS,1.4017814980590158e-08,6.389958898416035e-18,5.336551676712699e-11,1.6384133269230015e-06,0.9999907692813103,7.578234188520299e-06
32,أسئل الله أن يرزقك الوظيفة التي تطمح بها اولا الإتكال على الله والرازق هو الله ثانيا بر الوالدين فهم أحد أسباب التوفيق ثالثا المعدل احد المعايير المهمة عند التقديم على وظيفة معيد والله يوفقك ويسر أمرك ولاتنسى أن الوظيفة رزق فركز الوقت الحالي في دراستك وتطوير مهاراتك ودراسة اللغة الأنجليزية في الإجازات لإكتساب لغة ثانيه,DISGUST,SURPRISE,0.0003845175671348681,3.058312153613393e-06,1.1223206388838623e-09,0.003471258877808602,7.97798966732164e-06,0.9961331861308959
33,كنت حاس انك تستهبلين وانا جيت مدرعم ماراح نختفي قاعدين ع قليبك,SURPRISE,SURPRISE,0.023577756105941993,1.2312688334769735e-05,0.0011620580453265091,0.0032256304652065054,0.00588325001013052,0.9661389926850608
34,اتصلت عليهم ورد علي شخص وقالي انهم يدرون ان التذكرة تشمل المبتعث واطفاله وزوجته لا يحق لهم قلت يخليهم يعني قال وش نسوي هذا النظام قلت ترونه عدل قال المفروض الطلاب والاندية يشتكون قلت مستحيل انه محد شكى للان,SADNESS,SADNESS,5.810096401740692e-08,5.181613377908234e-22,1.47281454065248e-10,5.8964912694391635e-09,0.9999995048080539,4.3104722121803254e-07
35,كلامك في محله بس لاني جديدين على اللغه ولاندري بصراحه عن وضع الاختبار فهذا التخوف الي موجود بالداخل الله يعطيكم العافيه جميعا ماقصرتم,JOY,JOY,3.0326312321741323e-12,2.4853093001828594e-18,7.99881252492085e-12,0.999999999670905,3.209937793673194e-11,2.8596629300558884e-10
36,أختيار موفق البيولوجيا الجزيئيه هي العلم الحديث للأحياء وأغلب الأبحاث التى تجرأ ترتكز بشكل قوي ع البيولوجيا الجزيئيه كونك أخترت مجال جدا قوي وأغلب الباحثين في علوم الحيوان يعتبرون الأشخاص الذين يعملون ع البيولوجيا الجزيئيه هم ركيزه قويه لدعم أبحاثهم لأيهم ماهو نوع الكائن الذي أجريته عليه أبحاثك الذي يهم التكنيك وهل تستطيع توظف جميع طرق البيولوجيا الحزيئيه في إنتاج أبحاث ذات قيمه أما من ناحيه الكليه والقسم فهذا يرجع الى رئيس القسم وأعضائه هل هم مقتنعين أم لا,SADNESS,SADNESS,4.878886080509678e-12,1.5914163612691326e-28,3.4998257921697997e-16,2.3163409482399988e-17,0.9999999999948841,2.1803067207102147e-13
37,زوجي جدد جوازه عن طريق سفارة واشنطن من سنة تقريبا وقتها كنا في واشنطن فكانت الاجراءات اسهل الان انا في شيكاغو ومتخوفة ارسل الاوراق لهيوسن وتضيع واضطر اسويها تاني للاسف ارقامهم ما يردوا عليها ابدا عشان كدا قلت اسال اذا احد عمل التجديد عندهم بالنسبة لي التمديد مو خيار لاني عملت تمديد قبل وقرب ينتهي فالمفروض حاليا اصدار جواز جديد,FEAR,FEAR,5.926609304177401e-12,4.85851006512407e-23,0.9919401166848921,0.0010035563406268378,7.171306785946475e-11,0.007056326896820843
38,وما زلت لين الحين اشتاق واحن وما زالت الذكرى على بالي تمر على وتر حزني عزفت اقسى لحن ماني بفاقد شخص فاقد لي عمر,SADNESS,SADNESS,2.7243848672280405e-20,2.598718125675608e-23,4.66640760711027e-22,7.138635741538513e-20,1.0,9.055116848157989e-21
39,عجيب امرهم,FEAR,FEAR,0.0043518689902760695,0.001878086357377931,0.9681082687254873,0.007314422769869774,0.015146567482565916,0.003200785674422727
40,بالله ماهو قهر تحرم من الابتعاث وتكميل دراستها عشان محرم مثل الاخت لابد الاخذ بيدها وتشجيعها حقيق الله يكون بعونهن والمفروض يطلبون موافقة المحرم او سفر المحرم معها بدون الاقامة هذا راي الشخصي,SADNESS,SADNESS,8.128838221915625e-05,3.778945190781864e-11,1.5822946384154087e-05,0.001774987863328358,0.9782679919101331,0.019859908860134824
41,يالله دحين ابوي بيكون حزين,SADNESS,SADNESS,0.0023866341414659114,0.00016601609370654622,6.590877688042866e-05,7.657060741037029e-05,0.9967136016407144,0.0005912687398249209
42,الطلب مو متعطل من المشرف الدراسي الطلب متوقف عن طريق مدير الجهات الحكوميه او مساعده مدير الجهات الحكوميه تغير دكتور الجارالله وتعين دكتور سليمان العريني متشدد لابعد الحدود مع الطلبة المبتعثين من الجامعات بحجة انهم نابغة المستقبل ويجب ان لايحتاجوا اي طلبات في البوابه اي طلب يمرره المشرف يرجعه ويطلب طلبات عجيبه الله يكون في عون الجميع بالتوفيق,FEAR,FEAR,6.024182761386253e-10,9.945504088975228e-26,0.9999178120836846,8.15772018740029e-05,1.5230054386969735e-11,6.100967760742644e-07
43,شوف الوطن بعده يضم الأحزان عين تبكيه وعين تشكي غيابه سلطان بن عبدالعزيز يوم الجمعه شافتك عيوني وقالت,SADNESS,SADNESS,8.227109708760973e-09,8.0214398111887e-10,5.639018972232766e-10,2.05695704643246e-09,0.9999999583560006,2.9993877232170494e-08
44,الله يسعد اختي نور نحتاج اي معلومه قد تكون مفيده مشكور اخوي رامي على الجامعات الله يجزاك خير,JOY,JOY,4.5611200839744996e-12,5.2512073711705695e-17,1.263349766997418e-12,0.9999999992751043,6.156796618710358e-10,1.0340409524643262e-10
45,أيقنت بأن الجفا ما عاد يعنيني ولازم دروب الصبر نسعى ونسلكها وجروحك اللي تضايقني وتبكيني الحين صارت تضحكني واضحكها,SADNESS,SADNESS,2.6372542044210702e-11,1.2175118635222149e-12,1.53524241457739e-12,9.655024477016953e-13,0.9999999999635065,6.403239390317997e-12
46,أعجبني فيديو على شوف ابو جفين ايش سوى مع ابو جركل هههه,SURPRISE,SURPRISE,0.00031451790764328746,1.4606315976203404e-09,3.4734162476997553e-06,4.045288934346438e-05,0.0002679052747650744,0.9993736490513705
47,أعان الله قلوبا أرهقها الحزن  و عقولا أجهدها التفكير صبرا يا نفس فإن مع العسر يسرا,SADNESS,SADNESS,6.416271397336696e-07,1.076638301818393e-08,1.1269655805858115e-07,3.104952941915927e-06,0.999995321770769,8.081861999261293e-07
48,عليكم السلام بما انك عزمت النية على الشحن فأفضل طريقة تروح لمكتب الطيار وتختار يكون التوصيل من الباب الى الباب وللعلم اي شي تحتاجه موجود في مدينة يورك وبقالة ماقصرت تبيع المنتجات العربية,JOY,JOY,2.004632945471954e-09,4.5988819781065804e-14,4.285785443795762e-11,0.9999993486697879,1.3211731091702351e-08,6.360709381275706e-07
49,كن على يقين بأن الله سينير فيك ما أطفأه الناس بداخلك ويحيي فيك كل جميل كانت تملكه روحك ثم يرضيك رضا لا حزن بعده,SADNESS,SADNESS,3.1122687286287606e-05,2.898543153736423e-13,1.07405016472727e-08,2.3333417336898934e-05,0.9997943578504923,0.0001511753040995522
50,الله يبارك فيك وعقبالك,JOY,JOY,0.00041959001822369345,1.583541488497876e-05,4.282337255651816e-05,0.996468164751449,0.0026239872899808054,0.0004295991529065744
51,يعطيك العافيه مشكوره,JOY,JOY,3.6122034405767146e-05,8.334487118887585e-06,1.2815495822177901e-05,0.9999018669390993,3.292889696717289e-05,7.93214658674039e-06
52,الحين هاي ليش حزينه بروحها مدلعينها وتطلع ويا حبيبها ساعه ويعه ان شاءالله,SADNESS,SADNESS,0.00011122804854124914,1.1760896155057777e-06,3.6039121567021964e-05,6.437568008133119e-06,0.999824810137012,2.030903526265717e-05
53,لا يمكن ان تكون عقولهم صاحية هؤلاء تعدوا مرحلة الهبال هههههه الله يلعنهم هم ومهديهم,ANGER,ANGER,0.999281486764519,2.5913850632412905e-08,0.000226310099281948,2.177441592122654e-05,0.0002585528454280168,0.00021184996099173398
54,شكرا ماقصرتوا يعطيكم العافية,JOY,JOY,7.346369042747809e-07,3.883913654507839e-08,2.558957635615559e-07,0.9999968830108349,6.013917888305896e-07,1.4862255717048415e-06
55,ماضيهم حزين و ملئ بالمشاعر الحزينة من طلاب شويو وين كانو و الحين وين انتهى فيهم المطاف وقفات جينتامية,SADNESS,SADNESS,5.243522874025108e-06,4.659852195670534e-09,2.5738103180485118e-09,3.256140444271529e-08,0.9999942877438182,4.2893824369137614e-07
56,المبلغ المذكور هو يستخدم للرشوة أخي أنس و ليس له علاقة بالإتاحة للقراءة فالمجلة هي نفسها أتاحت للكل القراءة بالمجان أو الوصول لأي بحث في عددها بكل سهولة أما وجود تلك المجلات لتعزيز النشر العملي فهذا صائب من ناحية ولكن أغلب المجلات المفتوحة الناشئة ركز على الناشئة حاليا تستطيع أن تنشر أي بحث لاحظ أنني قلت أيضا أي بحث أما الإشتراك السنوي للطلاب والأكاديميين للشركات العالمية حسب وصفك لا يتجاوز نصف أو نفس القيمة للطلاب وغالبا تتم تغطيته من قبل الجامعات التي تعمل فيها كأكاديمي في تلك الحالة أنت غير مجبر على دفع أي مبلغ للقراءة طباعة أو توزيع موضوعنا هنا أن المجلات في الغالب أبحاثها لا تأثير لها في الوسط العملي أو دعنا نقول معدل التأثير قليل جدا وهو ما يسمى تحياتي,SURPRISE,SURPRISE,1.6026517018113617e-30,3.2935918054593785e-67,7.916830949689508e-38,2.1327052412891498e-32,1.8446925144280373e-36,1.0
57,جزاك الله خير الله يرحم فهد ويجمعكم في مستقر رحمته كل ما أشوفك تذكرينه في كل بوست تخنقني العبرة الله يرحمه ويغفر له,SADNESS,SADNESS,3.7627331030649533e-07,3.572263592202811e-11,1.4146770069666089e-07,0.01524372372574674,0.9847530497916679,2.7087058380881298e-06
58,لين دحين مفجوعة من نحف لونا فسنابة امبر امس,FEAR,SADNESS,0.007140655713670772,0.00011681475298503309,0.0008690590248023542,0.0008667594735904254,0.9738770191304336,0.0171296919045165
59,ياهجوس الشعر بالله ساعديني خاطري ضايق ومعك ابغا أتسلا ساعديني بالحون ولاعبيني وطربيني خلي الهم  إيتجلا نواف بن دريع,SADNESS,SADNESS,4.2972997299678814e-07,6.341501016622677e-07,2.6442554008411584e-07,1.123046486205032e-07,0.9999985282969732,3.1092771949602545e-08
60,مليونير وتعذب بفلوسه في الدنيا قبل الاخره الي يبي يأخذ هيفاء وهبي والي عارضه أزياء والعيال بتذابحون على الفلوس وحاله وصخه الانسان البسيط المستور حياته اجمل والذ واريح الف مره من هالملايين القذره,DISGUST,DISGUST,8.727187998530663e-07,0.9999939191631171,7.128865160279764e-08,4.50867293002707e-07,1.146255940115194e-06,3.5397061727729295e-06
61,اذا سافرت سيتم عمل هولد لك وإذا رجعت وطلبت اعادة الصرف سيوجه لك إنذار أكاديمي هذا من تجربة احد الزملاء قبل ثلاث أشهر,SURPRISE,SURPRISE,9.835638548494099e-09,3.66316563806995e-14,4.613006421876573e-08,0.00018179508803285854,1.4074179099152678e-05,0.9998040747671306
62,نوال الزغبي اول وحده بكليب الليالي وطول عمري قبل ميريام وهيفاء يغنو,ANGER,ANGER,0.99205820140439,7.321671884137356e-05,0.0004396116983945422,0.0026041543194959805,0.004654151288550041,0.00017066457032624256
63,وجهوا رسائلكم لهولاء النقل الخارجي,SURPRISE,SURPRISE,0.055033424361621605,0.003629669481400282,0.05763949040318406,0.016740906901530454,0.013766535193593148,0.8531899736586699
64,هذي الحين حصار من اشهر من حزب الله لاتصلهم المواد الغدائية,SADNESS,SADNESS,0.0005514420167823096,1.8741084396286396e-07,1.9028921181836294e-05,0.00017437050455802175,0.9983856695418097,0.0008693016048297189
65,مدري العمى بالعين ولا الوله زاد يـاكـثـر ما شوف البشر يشبهونك,ANGER,ANGER,0.9999762317619342,4.387988673122458e-09,2.796189236719551e-07,5.044187061680355e-09,2.2785669595010135e-05,6.93517375887236e-07
66,يلا الحين الا يبون يبدون الرجيم صح المشي زين ليكم هالحزه رفع سعر البنزين,SADNESS,SADNESS,3.7605618518512723e-05,6.093933524498159e-06,1.7335736860257973e-06,3.8496650274824186e-07,0.9998093245732351,0.00014485733453170588
67,كلنا كنا خايفين من لوفي و تخريبه للخطة راح عن بالنا ان سانجي اكبر خروف,FEAR,FEAR,0.0009947189832256631,2.3208303759423966e-06,0.9971347532286324,0.001045464882998327,0.0002680492186637202,0.000554692856097304
68,ياليت والله نرفع تظلم جماعي لديوان المظالم خطاب جامعة القصيم اتذكر كان فيه شرط عجيب اذا كان للمعيد ظروف منعته من اكمال الدراسة يقدمها وسيتم مناقشتها سريا وكان الظرف أصلا معلوم وهو عدم توفر المحرم,FEAR,FEAR,1.0383995070243897e-09,4.7290833007660143e-14,0.9999720980922024,1.8096088717569794e-05,9.234285928661685e-08,9.712437788944647e-06
