,Text,Emotion
45,نحن نحزن عليهم كثيرا حين يرحلون برغم يقيننا أن الرحيل عنا كان اختيارهم الأسهل همسه,SADNESS
77,محمد عبده و طلال سلامة فـي الدمام يلعن ام الفخامة,ANGER
84,من العبارات القرآنية لاتقنطوا  لاتحزنوا  لاتهنوا  لاتيأسوا القرآن يدعوك للرضا و التفاؤل ويبعث فيك الأمل دائما صباااح الخير,SADNESS
142,اليوم مسوين يوم مفتوح وأشوف الطالبات متضايقين  أقول لهم شفيكم قالوا المعلمات خذوا فلوسنا,SADNESS
197,لا تجعل عمرك يقف انتظارا لأحدولا تقضه ندما على مافات  ولا تأسف على جميل زرعته ولم يثمر ولا تحزن على أمر كتبه الله عليك وإن آلمك,SADNESS
304,هوازن ميرزا كمية استنقاص لذاتها واستحقار محزنة والمحزن اكثر انه كثير يتفقون معاها,SADNESS
326,اللهم حرم على قلب أمي حزن الحياه,SADNESS
379,من يلوم المنتظر والا يلوم الهاوي كل ما هب الهواء طالت عليه دروبه  والقهر لاشفت مضنونك ولا انت بقاوي عزتك تطغي عليك وغلطتك محسوبه,SADNESS
452,حقيره الدكتوره انقولها اجلي تقول ويلكم تو دا كوليج لايف ياجعله يرحبون فيج ف جهنم يالكافره,ANGER
453,يارب ابعد هالناس القليلي الأدب من عندي كارهه شغلي بسبتهم قلة أدب كلام وصخ لين متي,DISGUST
454,لا تقهر أحدا لتسعد نفسك ولا تظلم شخصا لتبرر أخطائك حاول دائما بناء سعادتك بعيدا عن آلام الناس,SADNESS
462,ياااارب في القلب من الحزن والذكرى مايسقط الدمع ويسكت اللسان عن البوح اللهم اجعل قبورهم روضه من رياض الجنه الموت مؤلم,SADNESS
534,وش فايدة ابتسامة هوليوود والوجه خميس مشيط,SURPRISE
536,وكانت قدرته على إخفاء حزنه تحزنني عازمون على الفوز,SADNESS
582,نسيت اسمه بس عجيب و يصيح بعد كان هندي,FEAR
605,رغم كرهي للإنتظار  انتظرك دائما,ANGER
614,لا تبحث عن سعادتك في الآخرين وإلا ستجد نفسك وحيدا وحزين بل ابحث عنها داخل نفسك وستشعر بالسعادة حتى لو بقيت وحيدا مسيييتوا,SADNESS
637,اللهم أسعد قلبا لم أقصد أن أحزنه يوما,SADNESS
694,اللهم افرح قلوبنا واغسل احزاننا وهمومنا واغفر ذنوبنا,SADNESS
789,يلعن ابو ام ال على ابو ام اللى اخترع دى وظيفه بنت وسخه مؤهلاتك عشان تشتغل فيها تكون بضان ابن كلب تبضن على خلق الله,ANGER
877,زمن صار اذا الواحد يبي يشتهر ويصير حديث الساعة ماعليه الا يقترح افكار غبية وتدل على جهل والادهى من ذلك ان يكون هناك من يصفق اكاديميه التعدد,ANGER
932,هوازن ميرزا من لها ولكل رجل أعجبته الفكرة وحدة تزوج عليها زوجها وارسلت له حلويات مشاركة للعرس من الواتساب,SURPRISE
957,حزين من الشتاء  و لا حزين من الضما  يا طير دخيل الريشتين  اللي تضفك حل عن عيني,SADNESS
958,مساء الخير على الجميع همسة لا تتوقف عند محطات الحزن كثيرا لأن الله سبحانه يقول إن مع العسر يسرا والقادم أجمل باذن الله,SADNESS
1086,من يزرع الود بأرض مالها ساقي يجني ثمار الجفا في سلة آحزانه,SADNESS
1109,كيلو لا يؤخر الله أمرا إلا لخير  ولا يحرمك أمرا إلا لخير  ولا ينزل عليك بلاء إلا لخير  فلا تحزن فرب الخير لا يأتي إلا بخير,SADNESS
1127,سوال عجيب,FEAR
1143,قالو تشرب ضيق خويك  قلت صبه لعنبو دنيا تذله و انا حي,ANGER
1145,علمته يضحك بوجه الحزن وعلمني احتضن حزني وانام,SADNESS
1327,ياكرهي للمعلمه اذا استقعدت للواحد,ANGER
1342,مالقيت شيء يقهر أكثر من شخص متوظف بوظيفة بالواسطة و تلقاه شايف نفسه و اللي يستاهلها يدور عن أي شيء يعيش عليه الله يلعن الواسطة بس,ANGER
1368,ابشر حب الوطن مغروس شبابنا وساعه الحزه لن يتوانى احد,SADNESS
1382,الله لا ينساك و هذا يكفي  الله لا يظلمك و هذا الأمان  الله لا يخذلك و هنا الطمأنينة,SADNESS
1476,يوسف عليه السلام يقول ﻻ تبتئس شعيب عليه السلام يقول ﻻ تخف محمدﷺيقول ﻻ تحزن منهج الأنبياء نشر الطمأنينة,SADNESS
1545,ثم يجبر الله خاطرك لدرجة أن تشعر بإنك لم تحزن يوما,SADNESS
1603,أمر بحالة غريبة من الشعورمرة أجدني أطفو بخفة وحولي هالة من اللاشعورومرة أشعر بأنني في أعمق بقعة في الأرضوكل الأرض فوقي تخنقني,SADNESS
1650,وقول الشافعي ثمانية لابد منها علي الفتي ولابد أن تجري عليه الثمانيه سرور وحزن واجتماع وفرقة ويسر وعسر ثم سقم وعافيه,SADNESS
1654,وسآمحني اذآ قسى قلبي عليك  الجفا بالجفا لو أنك آغلى مابقى,SADNESS
1661,من اليوم ورايح لازم اسوي دراسه شامله عن اي شخص بتعرف عليه  حتى لو علاقتي بتكون فيه سطحيه مالي خلق ناس غبيه بحياتي,ANGER
1662,اعشق النظره من العين الخجوله كل ما سلهم هدبهارحت فيها محسبن الحب يأتي بالسهوله لين شفت القلب من نبضه يبيها,SURPRISE
1708,أشياء لا تنس أن تحزمها مع أمتعتك في رحلتك إلى خصب الشبيبة,SADNESS
1731,والله افكاركم عجيبة ياشباب اي بعد ممكن ليش لا,FEAR
1756,اقسى شعور يمرني بغيابك  لا قادر اوصلك ولا قادر انساك,SADNESS
1915,زادني حزن ماحبني,SADNESS
1917,زين عطني هولز,SURPRISE
1921,الضعيف اللي علينا شاف حاله يستريح ويدري إنا ما درينا التغطرس والتكبر للحثاله والوفا والطيب تندابه ي,DISGUST
1999,أنا قلبي أنعمى فيه وأكتفى,ANGER
2004,يلعنم القوة,ANGER
2048,يلعن ابو قلب,ANGER
2083,لاتستهبل ماقلت انك مادرست,SURPRISE
2091,واستغفرك ربي صمتا وفرحا وحزنا وعافية,SADNESS
2154,قبلني حتى يذهب حزني,SADNESS
2174,الحمدللهوعساكم ماتواجهون الشر ومشكورين على الدعم والسؤال,JOY
2186,تصدقي كنت رح ارسم بونس للقصة عن رسالة مادارا بس البرنامج نفسن عليآ عشان جهازي مليان وكده وانقهرت منو وما رسمت,SADNESS
2191,راني حبيت الحزاير بزاااااف الله يرزقنا زيارة ليها نشوفوها,SADNESS
2229,اللهم اني اعوذ بك من موت الفجأه اللهم اني اعوذ بك من موت الفجأه اللهم اني اعوذ بك من موت الفجأه اللهم اني اعوذ بك من موت الفجأه,SURPRISE
2312,من أشد الوجع أن تبكي على ميت يفيض الحزن من عينيك وجعا ودمعا يحرق أجفانك,SADNESS
2314,الرابط المصخره انا اقول,ANGER
2321,تمنيت اشوفه يوم كان الطمع فـ الشوف و ذا الحين قد مطمعي ادري وش علومه سالخير,JOY
2433,و رب تنهيدة من وجد صاحبها تكاد من هولها الأضلاع تنكسر,SURPRISE
2498,هبلني ب زين أحكاه و أسلوبه المزاح و أنا نفسي ل زين السوالف شفاويه,SURPRISE
2521,يلعنم القهر صدق من طالب يقبلون  هذا الظلم بأمه و عينه,ANGER
2585,الله يلعني بس,ANGER
2627,اللهم إني أعـوذ بك من الهم والحـزن وأعوذ بك من العجز والكسل وأعوذ بك من الجبن والبخـل وأعوذ بك من غلبة الدين وقهر الرجال,SADNESS
2707,والله ما انقهر لحالي,SADNESS
2733,الحمدالله صار مالي خلق حتى اتضايق عالأشياء اللي تضايقني,SADNESS
2745,حلمت حلم وشعور ما ينوصف مادري انبسط او انقهر,SADNESS
2769,يارب ايام تمر ولا تضر تعطي اكثر مما تأخذ وتفرح اكثر مما تحزن,SADNESS
2792,قصة حزينة قصيرة مابي أداوم,SADNESS
2893,قمه عمان اردنيون يابوفهد شعبك يبي سكن حيالله الملك سلمان بالاردن عاصفه الحزم المركز الاعلا,SADNESS
2913,كل مره أجيك الضايق المشتاق وأعود منك كالعاده مثل ماجيت,SADNESS
2929,من العجيب أن هموم الدنيا من الممكن أن تختفي بمجرد رؤيتك لإبتسامة شخص تحبه,FEAR
